PUBMEDID	DISEASE.TRAIT	ACCESSION_ID	N_num	HARMONISED_FILE_URL
34662886	ICD10 Z71.3: Dietary counseling and surveillance	GCST90081306	372978	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081306/harmonised/34662886-GCST90081306-EFO_0007869.h.tsv.gz
34662886	ICD10 O34: Maternal care for abnormality of pelvic organs (Gene-based burden)	GCST90084700	211957	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084700/harmonised/34662886-GCST90084700-EFO_0000408.h.tsv.gz
34662886	ICD10 O34.2: Maternal care due to uterine scar from previous surgery (Gene-based burden)	GCST90084699	229134	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084699/harmonised/34662886-GCST90084699-EFO_0000408.h.tsv.gz
34662886	ICD10 T14.8: Other injury of unspecified body region	GCST90081046	372073	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081046/harmonised/34662886-GCST90081046-EFO_0000546.h.tsv.gz
34662886	ICD10 O36: Maternal care for other fetal problems (Gene-based burden)	GCST90084702	211831	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084702/harmonised/34662886-GCST90084702-EFO_0000408.h.tsv.gz
34662886	ICD10 H60: Otitis externa	GCST90079929	372284	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079929/harmonised/34662886-GCST90079929-EFO_0009560.h.tsv.gz
34662886	ICD10 O36.8: Maternal care for other specified fetal problems (Gene-based burden)	GCST90084701	212001	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084701/harmonised/34662886-GCST90084701-EFO_0000408.h.tsv.gz
34662886	ICD10 B37: Candidiasis	GCST90079560	372159	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079560/harmonised/34662886-GCST90079560-MONDO_0002026.h.tsv.gz
34662886	ICD10 O42: Premature rupture of membranes (Gene-based burden)	GCST90084704	211997	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084704/harmonised/34662886-GCST90084704-EFO_0000408.h.tsv.gz
34662886	ICD10 F32: Major depressive disorder, single episode	GCST90079804	372157	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079804/harmonised/34662886-GCST90079804-MONDO_0002009.h.tsv.gz
