EFO_ID,DISEASE_TRAIT,ACCESSION_ID,N,N_num,HAS_SUM_STATS,HARMONISED_FILE_URL,N_gt_10k,download,download_cmd,download_cmd2,trait
EFO_0006335,Waist_hip_ratio_and_systolic_blood_pressure_pairwise,GCST011323,"365,450 European ancestry individuals, 11,333 East Asian, South Asian, Hispanic and African American ancestry individuals ",376783,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011323/harmonised/33619380-GCST011323-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011323/harmonised/33619380-GCST011323-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011323/harmonised/33619380-GCST011323-EFO_0006335.h.tsv.gz,Waist_hip_ratio_and_systolic_blood_pressure_pairwise_GCST011323
EFO_0006336,Diastolic_blood_pressure,GCST006227,"120,473 European ancestry individuals, 21,503 African American individuals, 4,586 Hispanic individuals",146562,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006227/harmonised/27618448-GCST006227-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006227/harmonised/27618448-GCST006227-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006227/harmonised/27618448-GCST006227-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST006227
EFO_0006336,Diastolic_blood_pressure,GCST008029,"11,380 African American individuals, 21,549 Hispanic/Latino individuals, 1,086 Asian ancestry individuals, 636 Native American ancestry individuals, 782 individuals",35433,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008029/harmonised/31217584-GCST008029-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008029/harmonised/31217584-GCST008029-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008029/harmonised/31217584-GCST008029-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST008029
EFO_0006336,Diastolic_blood_pressure,GCST006258,"up to 201,529 European ancestry individuals",201529,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006258/harmonised/27618452-GCST006258-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006258/harmonised/27618452-GCST006258-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006258/harmonised/27618452-GCST006258-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST006258
EFO_0006336,Diastolic_blood_pressure,GCST90029010,"490,469 European ancestry individuals",490469,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029010/harmonised/29892013-GCST90029010-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029010/harmonised/29892013-GCST90029010-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029010/harmonised/29892013-GCST90029010-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST90029010
EFO_0006336,Diastolic_blood_pressure,GCST90000059,"810,865 European ancestry individuals",810865,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000059/harmonised/33230300-GCST90000059-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000059/harmonised/33230300-GCST90000059-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000059/harmonised/33230300-GCST90000059-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST90000059
EFO_0006336,Diastolic_blood_pressure,GCST90000063,"810,865 European ancestry individuals, 21,077 African American individuals, 33,689 South Asian ancestry individuals, 4,586 Hispanic individuals",870217,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000063/harmonised/33230300-GCST90000063-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000063/harmonised/33230300-GCST90000063-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000063/harmonised/33230300-GCST90000063-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST90000063
EFO_0006336,Diastolic_blood_pressure,GCST90025981,"422,713 European ancestry individuals",422713,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025981/harmonised/34226706-GCST90025981-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025981/harmonised/34226706-GCST90025981-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025981/harmonised/34226706-GCST90025981-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST90025981
EFO_0006336,Diastolic_blood_pressure_automated_reading_UKB_data_field_4079,GCST90014017,"385,801 British ancestry individuals",385801,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014017/harmonised/34017140-GCST90014017-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014017/harmonised/34017140-GCST90014017-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014017/harmonised/34017140-GCST90014017-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_automated_reading_UKB_data_field_4079_GCST90014017
EFO_0006336,Diastolic_blood_pressure,GCST90018952,"340,162 European ancestry individuals, 145,515 East Asian ancestry individuals",485677,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018952/harmonised/34594039-GCST90018952-EFO_0006336.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018952/harmonised/34594039-GCST90018952-EFO_0006336.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018952/harmonised/34594039-GCST90018952-EFO_0006336.h.tsv.gz,Diastolic_blood_pressure_GCST90018952
